Issue key,Issue id,Summary,Issue Type,Status,Status Category,Project key,Project name,Priority,Resolution,Assignee,Reporter,Creator,Parent key,Parent summary,Team Name,Sprint,Created,Updated,Resolved,Due date,Custom field (Domain),Custom field (Story Points),Custom field (Solution Architect),Original estimate
GTS-14,100014,Decommission Product Classification training module,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,25/Jan/26 12:00 AM,29/Aug/26 12:00 AM,,26/Feb/26 12:00 AM,,,Amara Okafor,162000
GTS-15,100015,Onboard Broker EDI reporting extract,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,16/Jan/26 12:00 AM,01/Mar/26 12:00 AM,01/Mar/26 12:00 AM,13/Mar/26 12:00 AM,,,Priya Nandakumar,309600
GTS-16,100016,Design Duty Management batch job,Story,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,08/Mar/26 12:00 AM,23/Jun/26 12:00 AM,,27/Mar/26 12:00 AM,,,Priya Nandakumar,288000
GTS-17,100017,Automate Denied Party data model,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,18/May/26 12:00 AM,06/Jun/26 12:00 AM,06/Jun/26 12:00 AM,02/Jun/26 12:00 AM,,,Amara Okafor,82800
GTS-18,100018,Build Duty Management reporting extract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,11/May/26 12:00 AM,03/Jul/26 12:00 AM,03/Jul/26 12:00 AM,28/Jun/26 12:00 AM,,,Sean Gallagher,36000
GTS-19,100019,Automate Duty Management master record,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,23/May/26 12:00 AM,02/Jun/26 12:00 AM,02/Jun/26 12:00 AM,04/Jun/26 12:00 AM,,,Priya Nandakumar,39600
GTS-20,100020,Automate Denied Party API contract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,17/Jan/26 12:00 AM,04/Feb/26 12:00 AM,04/Feb/26 12:00 AM,05/Feb/26 12:00 AM,,,Priya Nandakumar,115200
GTS-21,100021,Refactor Duty Management reconciliation,Story,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,09/May/26 12:00 AM,10/May/26 12:00 AM,,22/Jun/26 12:00 AM,,,Hiroshi Tanaka,100800
GTS-22,100022,Deploy Duty Management audit trail,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,23/Jun/26 12:00 AM,13/Jul/26 12:00 AM,13/Jul/26 12:00 AM,15/Jul/26 12:00 AM,,,Marta Kowalski,108000
GTS-23,100023,Automate Denied Party reconciliation,Task,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,12/Apr/26 12:00 AM,12/Apr/26 12:00 AM,,30/Apr/26 12:00 AM,,,Daniel Osei,54000
GTS-24,100024,Automate Denied Party approval workflow,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,20/Jun/26 12:00 AM,10/Jul/26 12:00 AM,10/Jul/26 12:00 AM,07/Jul/26 12:00 AM,,,Priya Nandakumar,313200
GTS-25,100025,Refactor Broker EDI conversion rule,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,12/Jan/26 12:00 AM,24/Jan/26 12:00 AM,24/Jan/26 12:00 AM,12/Feb/26 12:00 AM,,,Sean Gallagher,21600
GTS-26,100026,Configure Product Classification API contract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,06/Jun/26 12:00 AM,22/Jul/26 12:00 AM,22/Jul/26 12:00 AM,21/Jul/26 12:00 AM,,,Priya Nandakumar,50400
GTS-27,100027,Refactor Product Classification dashboard,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,20/Mar/26 12:00 AM,30/Apr/26 12:00 AM,30/Apr/26 12:00 AM,26/Apr/26 12:00 AM,,,Priya Nandakumar,32400
GTS-28,100028,Configure Product Classification user role,Story,Blocked,In Progress,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,02/May/26 12:00 AM,08/Jun/26 12:00 AM,,25/May/26 12:00 AM,,,Priya Nandakumar,72000
GTS-29,100029,Design Product Classification data model,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,06/Feb/26 12:00 AM,23/Mar/26 12:00 AM,23/Mar/26 12:00 AM,06/Apr/26 12:00 AM,,,Priya Nandakumar,266400
GTS-30,100030,Configure Duty Management batch job,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,15/Jun/26 12:00 AM,14/Jul/26 12:00 AM,14/Jul/26 12:00 AM,09/Jul/26 12:00 AM,,,Marta Kowalski,68400
GTS-31,100031,Document Denied Party API contract,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,22/Jul/26 12:00 AM,31/Aug/26 12:00 AM,31/Aug/26 12:00 AM,25/Aug/26 12:00 AM,,,Daniel Osei,93600
GTS-32,100032,Decommission Denied Party batch job,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,13/Mar/26 12:00 AM,06/Aug/26 12:00 AM,,25/Mar/26 12:00 AM,,,Marta Kowalski,158400
GTS-33,100033,Design Duty Management API contract,Story,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,17/Feb/26 12:00 AM,21/Feb/26 12:00 AM,,11/Apr/26 12:00 AM,,,Daniel Osei,64800
GTS-34,100034,Build Duty Management reconciliation,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,03/Jun/26 12:00 AM,28/Aug/26 12:00 AM,,24/Jun/26 12:00 AM,,,Priya Nandakumar,122400
GTS-35,100035,Build Duty Management batch job,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,19/Mar/26 12:00 AM,24/Mar/26 12:00 AM,24/Mar/26 12:00 AM,22/Mar/26 12:00 AM,,,Amara Okafor,108000
GTS-36,100036,Configure Duty Management master record,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,23/Jan/26 12:00 AM,28/Mar/26 12:00 AM,28/Mar/26 12:00 AM,18/Mar/26 12:00 AM,,,Daniel Osei,32400
GTS-37,100037,Test Denied Party training module,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,12/Jun/26 12:00 AM,05/Jul/26 12:00 AM,05/Jul/26 12:00 AM,08/Jul/26 12:00 AM,,,Priya Nandakumar,57600
GTS-38,100038,Automate Duty Management approval workflow,Story,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,04/Feb/26 12:00 AM,26/Jun/26 12:00 AM,,20/Feb/26 12:00 AM,,,Priya Nandakumar,118800
GTS-39,100039,Design Product Classification reconciliation,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,16/Jan/26 12:00 AM,01/Feb/26 12:00 AM,01/Feb/26 12:00 AM,31/Jan/26 12:00 AM,,,Marta Kowalski,273600
GTS-40,100040,Automate Product Classification API contract,Story,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,26/Apr/26 12:00 AM,26/Apr/26 12:00 AM,,31/May/26 12:00 AM,,,Hiroshi Tanaka,273600
GTS-41,100041,Reconcile Product Classification interface,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,20/Mar/26 12:00 AM,24/Aug/26 12:00 AM,,30/Mar/26 12:00 AM,,,Marta Kowalski,568800
GTS-42,100042,Build Duty Management batch job,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,24/Apr/26 12:00 AM,07/Aug/26 12:00 AM,,08/May/26 12:00 AM,,,Hiroshi Tanaka,133200
GTS-43,100043,Document Broker EDI interface,Task,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,18/Jan/26 12:00 AM,15/Aug/26 12:00 AM,,09/Feb/26 12:00 AM,,,Priya Nandakumar,61200
GTS-44,100044,Automate Denied Party batch job,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,28/Apr/26 12:00 AM,17/May/26 12:00 AM,17/May/26 12:00 AM,19/May/26 12:00 AM,,,Sean Gallagher,82800
GTS-45,100045,Refactor Denied Party reconciliation,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,27/Jun/26 12:00 AM,14/Jul/26 12:00 AM,14/Jul/26 12:00 AM,16/Jul/26 12:00 AM,,,Priya Nandakumar,79200
GTS-46,100046,Configure Broker EDI approval workflow,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,12/Jan/26 12:00 AM,28/Jan/26 12:00 AM,28/Jan/26 12:00 AM,22/Feb/26 12:00 AM,,,Priya Nandakumar,61200
GTS-47,100047,Configure Duty Management batch job,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,05/Mar/26 12:00 AM,01/Apr/26 12:00 AM,01/Apr/26 12:00 AM,10/Apr/26 12:00 AM,,,Daniel Osei,122400
GTS-48,100048,Document Broker EDI reconciliation,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,27/Mar/26 12:00 AM,09/Aug/26 12:00 AM,,21/Apr/26 12:00 AM,,,Priya Nandakumar,126000
GTS-49,100049,Automate Duty Management data model,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,19/Jul/26 12:00 AM,22/Aug/26 12:00 AM,22/Aug/26 12:00 AM,15/Aug/26 12:00 AM,,,Daniel Osei,28800
GTS-50,100050,Decommission Denied Party batch job,Story,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,03/May/26 12:00 AM,14/Aug/26 12:00 AM,,30/May/26 12:00 AM,,,Priya Nandakumar,230400
GTS-51,100051,Document Product Classification user role,Task,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,22/Mar/26 12:00 AM,05/May/26 12:00 AM,,31/Mar/26 12:00 AM,,,Hiroshi Tanaka,18000
GTS-52,100052,Test Broker EDI dashboard,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,01/May/26 12:00 AM,10/Jul/26 12:00 AM,10/Jul/26 12:00 AM,17/Jul/26 12:00 AM,,,Hiroshi Tanaka,72000
GTS-53,100053,Test Duty Management cutover task,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,30/Mar/26 12:00 AM,10/May/26 12:00 AM,10/May/26 12:00 AM,30/Apr/26 12:00 AM,,,Marta Kowalski,244800
GTS-54,100054,Document Product Classification API contract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,24/Feb/26 12:00 AM,28/Apr/26 12:00 AM,28/Apr/26 12:00 AM,25/Apr/26 12:00 AM,,,Daniel Osei,147600
GTS-55,100055,Refactor Broker EDI conversion rule,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,12/Jan/26 12:00 AM,19/Feb/26 12:00 AM,19/Feb/26 12:00 AM,03/Mar/26 12:00 AM,,,Priya Nandakumar,61200
GTS-56,100056,Migrate Denied Party dashboard,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,06/Jun/26 12:00 AM,10/Aug/26 12:00 AM,,25/Jun/26 12:00 AM,,,Amara Okafor,507600
GTS-57,100057,Test Broker EDI API contract,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,15/Apr/26 12:00 AM,12/Aug/26 12:00 AM,,21/Apr/26 12:00 AM,,,Daniel Osei,57600
GTS-58,100058,Deploy Duty Management conversion rule,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,04/Mar/26 12:00 AM,15/Aug/26 12:00 AM,,13/Mar/26 12:00 AM,,,Daniel Osei,14400
GTS-59,100059,Test Duty Management dashboard,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,09/Feb/26 12:00 AM,16/Mar/26 12:00 AM,16/Mar/26 12:00 AM,13/Mar/26 12:00 AM,,,Priya Nandakumar,129600
GTS-60,100060,Decommission Product Classification batch job,Story,Blocked,In Progress,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,23/Mar/26 12:00 AM,12/Aug/26 12:00 AM,,17/Apr/26 12:00 AM,,,Priya Nandakumar,18000
GTS-61,100061,Onboard Product Classification API contract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,26/Mar/26 12:00 AM,13/Apr/26 12:00 AM,13/Apr/26 12:00 AM,09/Apr/26 12:00 AM,,,Daniel Osei,39600
GTS-62,100062,Onboard Duty Management training module,Story,Descoped,Done,GTS,SAP GTS,P3 - Medium,Won't Do,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,06/May/26 12:00 AM,11/May/26 12:00 AM,,11/May/26 12:00 AM,,,Hiroshi Tanaka,151200
GTS-63,100063,Automate Broker EDI batch job,Task,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,07/Mar/26 12:00 AM,23/Aug/26 12:00 AM,,31/Mar/26 12:00 AM,,,Amara Okafor,57600
GTS-64,100064,Test Product Classification reporting extract,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,22/Mar/26 12:00 AM,29/Aug/26 12:00 AM,,02/Apr/26 12:00 AM,,,Sean Gallagher,144000
GTS-65,100065,Validate Product Classification audit trail,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,27/Mar/26 12:00 AM,10/Apr/26 12:00 AM,10/Apr/26 12:00 AM,10/Apr/26 12:00 AM,,,Daniel Osei,28800
GTS-66,100066,Test Broker EDI interface,Story,Blocked,In Progress,GTS,SAP GTS,P3 - Medium,,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,19/Apr/26 12:00 AM,24/Jun/26 12:00 AM,,06/Jun/26 12:00 AM,,,Daniel Osei,187200
GTS-67,100067,Reconcile Broker EDI reconciliation,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,29/May/26 12:00 AM,10/Jun/26 12:00 AM,10/Jun/26 12:00 AM,10/Jun/26 12:00 AM,,,Hiroshi Tanaka,18000
GTS-68,100068,Reconcile Broker EDI cutover task,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,17/Apr/26 12:00 AM,30/Apr/26 12:00 AM,30/Apr/26 12:00 AM,27/Apr/26 12:00 AM,,,Priya Nandakumar,284400
GTS-69,100069,Validate Denied Party data model,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,29/Jun/26 12:00 AM,25/Jul/26 12:00 AM,25/Jul/26 12:00 AM,02/Aug/26 12:00 AM,,,Marta Kowalski,57600
GTS-70,100070,Document Denied Party cutover task,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,12/Jan/26 12:00 AM,22/Jan/26 12:00 AM,22/Jan/26 12:00 AM,14/Feb/26 12:00 AM,,,Marta Kowalski,342000
GTS-71,100071,Migrate Denied Party user role,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,08/Jul/26 12:00 AM,26/Jul/26 12:00 AM,26/Jul/26 12:00 AM,30/Jul/26 12:00 AM,,,Priya Nandakumar,39600
GTS-72,100072,Design Denied Party reconciliation,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,12/Jan/26 12:00 AM,03/Feb/26 12:00 AM,03/Feb/26 12:00 AM,24/Feb/26 12:00 AM,,,Priya Nandakumar,489600
GTS-73,100073,Validate Product Classification batch job,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,08/Jun/26 12:00 AM,07/Aug/26 12:00 AM,,18/Jun/26 12:00 AM,,,Daniel Osei,36000
GTS-74,100074,Build Product Classification cutover task,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,13/Aug/26 12:00 AM,23/Aug/26 12:00 AM,23/Aug/26 12:00 AM,23/Aug/26 12:00 AM,,,Marta Kowalski,18000
GTS-75,100075,Integrate Product Classification data model,Task,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,28/Mar/26 12:00 AM,03/Jun/26 12:00 AM,,04/Apr/26 12:00 AM,,,Priya Nandakumar,90000
GTS-76,100076,Design Duty Management user role,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,09/Jun/26 12:00 AM,02/Sep/26 12:00 AM,,19/Jun/26 12:00 AM,,,Priya Nandakumar,262800
GTS-77,100077,Validate Denied Party reconciliation,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,21/Apr/26 12:00 AM,20/May/26 12:00 AM,20/May/26 12:00 AM,17/May/26 12:00 AM,,,Priya Nandakumar,176400
GTS-78,100078,Onboard Duty Management user role,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,09/Apr/26 12:00 AM,15/Aug/26 12:00 AM,,22/Apr/26 12:00 AM,,,Amara Okafor,244800
GTS-79,100079,Automate Denied Party conversion rule,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,14/May/26 12:00 AM,24/May/26 12:00 AM,24/May/26 12:00 AM,26/May/26 12:00 AM,,,Amara Okafor,180000
GTS-80,100080,Reconcile Broker EDI cutover task,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,14/Mar/26 12:00 AM,12/Apr/26 12:00 AM,12/Apr/26 12:00 AM,15/Apr/26 12:00 AM,,,Amara Okafor,39600
GTS-81,100081,Test Duty Management reporting extract,Story,Descoped,Done,GTS,SAP GTS,P3 - Medium,Won't Do,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,30/Mar/26 12:00 AM,07/May/26 12:00 AM,,08/May/26 12:00 AM,,,Amara Okafor,172800
GTS-82,100082,Test Duty Management dashboard,Story,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,14/Mar/26 12:00 AM,21/Jun/26 12:00 AM,,25/Apr/26 12:00 AM,,,Priya Nandakumar,93600
