Program,Ref,Deliverable,Workstream,Region,Accountable,Status,RAG,Started,Committed Date,Delivered Date,Report Week,Commentary
Kaika (Japan JDE),D-020,Validate Finance Convergence audit trail,Finance Convergence,Japan,Daniel Osei,Complete,Green,2025-10-08,2025-12-10,2025-12-04,2025-12-04,
Kaika (Japan JDE),D-021,Onboard Finance Convergence dashboard,Cutover,Japan,Daniel Osei,Complete,Green,2026-06-29,2026-07-25,2026-08-02,2026-08-02,
Kaika (Japan JDE),D-022,Decommission Cutover dashboard,Finance Convergence,Japan,Priya Nandakumar,Complete,Green,2025-09-03,2025-10-09,2025-10-21,2025-10-21,
Kaika (Japan JDE),D-023,Migrate Logistics reconciliation,Logistics,Japan,Marta Kowalski,Complete,Green,2025-02-03,2025-03-28,2025-03-06,2025-03-06,
Kaika (Japan JDE),D-024,Validate Finance Convergence conversion rule,Cutover,Japan,Marta Kowalski,Not Started,Amber,2025-09-05,2025-09-25,,2026-05-14,
Kaika (Japan JDE),D-025,Validate Localization batch job,Finance Convergence,Japan,Priya Nandakumar,Complete,Green,2025-10-15,2025-12-03,2025-11-30,2025-11-30,
Kaika (Japan JDE),D-026,Automate Localization master record,Finance Convergence,Japan,Amara Okafor,Complete,Green,2025-11-23,2025-12-27,2025-12-23,2025-12-23,
Kaika (Japan JDE),D-027,Build Logistics reconciliation,Localization,APAC Shared,Daniel Osei,Not Started,Amber,2026-02-07,2026-02-28,,2026-05-09,
Kaika (Japan JDE),D-028,Reconcile Cutover conversion rule,Finance Convergence,APAC Shared,Priya Nandakumar,In Progress,Green,2026-06-09,2026-06-30,,2026-09-02,
Kaika (Japan JDE),D-029,Onboard Logistics reporting extract,Cutover,Japan,Priya Nandakumar,In Progress,Green,2025-11-11,2025-12-11,,2026-08-10,
Kaika (Japan JDE),D-030,Document Localization data model,Logistics,APAC Shared,Hiroshi Tanaka,Complete,Green,2025-12-29,2026-03-19,2026-03-02,2026-03-02,
Kaika (Japan JDE),D-031,Deploy Localization cutover task,Cutover,Japan,Amara Okafor,Complete,Green,2026-02-23,2026-03-30,2026-03-23,2026-03-23,
Kaika (Japan JDE),D-032,Reconcile Localization reconciliation,Finance Convergence,Japan,Daniel Osei,In Progress,Green,2025-07-05,2026-01-09,,2026-08-23,
Kaika (Japan JDE),D-033,Onboard Finance Convergence dashboard,Finance Convergence,Japan,Amara Okafor,Complete,Green,2025-07-23,2025-09-25,2025-10-07,2025-10-07,
Kaika (Japan JDE),D-034,Migrate Localization API contract,Cutover,Japan,Hiroshi Tanaka,Complete,Green,2025-02-26,2025-05-30,2025-06-05,2025-06-05,
Kaika (Japan JDE),D-035,Design Localization test script,Cutover,APAC Shared,Hiroshi Tanaka,In Progress,Green,2025-05-04,2025-07-14,,2026-08-06,
Kaika (Japan JDE),D-036,Refactor Finance Convergence dashboard,Cutover,APAC Shared,Hiroshi Tanaka,Complete,Green,2025-12-20,2026-04-24,2026-05-08,2026-05-08,
Kaika (Japan JDE),D-037,Configure Finance Convergence API contract,Logistics,APAC Shared,Daniel Osei,Complete,Green,2026-06-18,2026-07-24,2026-07-15,2026-07-15,
Kaika (Japan JDE),D-038,Build Localization test script,Logistics,APAC Shared,Hiroshi Tanaka,Complete,Green,2026-01-12,2026-01-20,2026-01-21,2026-01-21,
Kaika (Japan JDE),D-039,Decommission Finance Convergence training module,Localization,APAC Shared,Daniel Osei,Complete,Green,2025-07-08,2025-08-19,2025-08-11,2025-08-11,
Kaika (Japan JDE),D-040,Document Cutover interface,Logistics,Japan,Marta Kowalski,In Progress,Green,2025-11-17,2026-01-09,,2026-08-26,
Kaika (Japan JDE),D-041,Refactor Finance Convergence conversion rule,Finance Convergence,Japan,Priya Nandakumar,Not Started,Amber,2025-09-21,2025-11-25,,2026-04-24,
Kaika (Japan JDE),D-042,Migrate Cutover approval workflow,Logistics,Japan,Marta Kowalski,Complete,Green,2025-07-08,2025-08-23,2025-08-29,2025-08-29,
SPM,D-001,Design Pilot dashboard,Data Sourcing,Direct Materials,Marta Kowalski,Complete,Green,2026-02-02,2027-03-21,2026-07-01,2026-07-01,
SPM,D-002,Validate Scorecard Design cutover task,Scorecard Design,Direct Materials,Daniel Osei,Not Started,Amber,2026-04-20,2026-07-25,,2026-04-20,
SPM,D-003,Reconcile Scorecard Design reporting extract,Pilot,Direct Materials,Marta Kowalski,Not Started,Amber,2026-03-26,2026-06-14,,2026-05-03,
SPM,D-004,Document Data Sourcing approval workflow,Data Sourcing,Indirect,Daniel Osei,Not Started,Amber,2026-03-05,2026-04-10,,2026-06-11,
SPM,D-005,Reconcile Scorecard Design audit trail,Pilot,Direct Materials,Marta Kowalski,In Progress,Green,2026-04-03,2026-05-18,,2026-08-07,
SPM,D-006,Test Scorecard Design data model,Scorecard Design,Indirect,Priya Nandakumar,Not Started,Amber,2026-02-08,2026-06-28,,2026-05-03,
SPM,D-007,Test Data Sourcing test script,Data Sourcing,Indirect,Daniel Osei,Not Started,Amber,2026-03-29,2026-08-22,,2026-03-29,
SPM,D-008,Document Pilot training module,Scorecard Design,Indirect,Daniel Osei,Not Started,Amber,2026-06-22,2026-09-28,,2026-07-08,
SPM,D-009,Test Scorecard Design dashboard,Data Sourcing,Indirect,Marta Kowalski,Not Started,Amber,2026-05-05,2026-08-25,,2026-05-09,
SPM,D-010,Design Pilot training module,Pilot,Direct Materials,Priya Nandakumar,Not Started,Amber,2026-05-16,2026-06-11,,2026-05-16,
SPM,D-011,Design Data Sourcing data model,Scorecard Design,Direct Materials,Daniel Osei,Not Started,Amber,2026-05-06,2026-07-23,,2026-08-29,
SPM,D-012,Document Scorecard Design dashboard,Pilot,Indirect,Daniel Osei,Not Started,Amber,2026-05-08,2026-06-04,,2026-05-08,
SPM,D-013,Deploy Scorecard Design audit trail,Data Sourcing,Indirect,Priya Nandakumar,Slipped,Red,2026-02-26,2026-03-20,,2026-07-14,Two of three analyst roles are still unfilled; start date has moved twice.
SPM,D-014,Test Pilot reconciliation,Pilot,Indirect,Marta Kowalski,Slipped,Red,2026-04-09,2026-06-04,,2026-06-21,Two of three analyst roles are still unfilled; start date has moved twice.
SPM,D-015,Document Scorecard Design reconciliation,Scorecard Design,Direct Materials,Priya Nandakumar,Not Started,Amber,2026-06-07,2026-09-11,,2026-06-07,
SPM,D-016,Validate Data Sourcing user role,Pilot,Indirect,Priya Nandakumar,Not Started,Amber,2026-04-18,2026-07-29,,2026-04-20,
SPM,D-017,Refactor Pilot dashboard,Data Sourcing,Direct Materials,Daniel Osei,Complete,Green,2026-04-30,2026-07-21,2026-07-09,2026-07-09,
SPM,D-018,Deploy Data Sourcing approval workflow,Scorecard Design,Direct Materials,Priya Nandakumar,Complete,Green,2026-03-06,2026-05-19,2026-05-17,2026-05-17,
SPM,D-019,Design Scorecard Design dashboard,Scorecard Design,Indirect,Priya Nandakumar,Not Started,Amber,2026-06-08,2026-07-04,,2026-06-11,
SPM,D-020,Document Scorecard Design cutover task,Pilot,Direct Materials,Priya Nandakumar,Not Started,Amber,2026-06-18,2026-07-26,,2026-07-26,
SPM,D-021,Refactor Pilot interface,Pilot,Direct Materials,Priya Nandakumar,Not Started,Amber,2026-07-04,2026-07-24,,2026-07-04,
SPM,D-022,Onboard Data Sourcing cutover task,Scorecard Design,Direct Materials,Daniel Osei,Slipped,Red,2026-04-08,2026-04-21,,2026-08-03,Two of three analyst roles are still unfilled; start date has moved twice.
SPM,D-023,Validate Scorecard Design dashboard,Data Sourcing,Direct Materials,Marta Kowalski,Not Started,Amber,2026-04-27,2026-07-30,,2026-05-30,
SPM,D-024,Reconcile Scorecard Design master record,Pilot,Indirect,Daniel Osei,Not Started,Amber,2026-03-12,2026-04-23,,2026-03-12,
SPM,D-025,Refactor Data Sourcing conversion rule,Data Sourcing,Indirect,Priya Nandakumar,In Progress,Green,2026-04-26,2026-07-18,,2026-08-25,
SPM,D-026,Document Scorecard Design dashboard,Scorecard Design,Indirect,Daniel Osei,Complete,Green,2026-02-02,2026-05-11,2026-02-11,2026-02-11,
Analytics Enablement,D-001,Migrate Certification dashboard,Curriculum,Global,Daniel Osei,Complete,Green,2026-03-03,2026-03-29,2026-03-25,2026-03-25,
Analytics Enablement,D-002,Configure Champions Network reconciliation,Certification,Global,Priya Nandakumar,Complete,Green,2026-05-11,2026-06-10,2026-06-04,2026-06-04,
Analytics Enablement,D-003,Test Certification reconciliation,Certification,Global,Priya Nandakumar,Slipped,Red,2025-06-20,2025-07-19,,2026-07-12,Adoption depends on business-unit champions who have day jobs.
Analytics Enablement,D-004,Onboard Curriculum audit trail,Certification,Americas,Priya Nandakumar,Complete,Green,2025-05-03,2025-06-28,2025-06-18,2025-06-18,
Analytics Enablement,D-005,Onboard Champions Network cutover task,Certification,EMEA,Priya Nandakumar,Complete,Green,2025-06-19,2025-07-14,2025-07-17,2025-07-17,
Analytics Enablement,D-006,Test Curriculum audit trail,Curriculum,EMEA,Priya Nandakumar,Complete,Green,2025-06-02,2025-06-12,2025-06-12,2025-06-12,
Analytics Enablement,D-007,Migrate Curriculum cutover task,Curriculum,EMEA,Priya Nandakumar,In Progress,Green,2025-11-13,2025-12-09,,2026-08-10,
Analytics Enablement,D-008,Document Champions Network batch job,Certification,Global,Marta Kowalski,Complete,Green,2025-05-15,2025-06-17,2025-06-14,2025-06-14,
Analytics Enablement,D-009,Onboard Certification data model,Champions Network,Global,Marta Kowalski,Dropped,Grey,2026-01-16,2026-03-08,2026-03-03,2026-03-03,
Analytics Enablement,D-010,Reconcile Champions Network user role,Champions Network,Global,Marta Kowalski,Complete,Green,2025-09-13,2025-10-08,2025-10-02,2025-10-02,
Analytics Enablement,D-011,Build Curriculum cutover task,Curriculum,Global,Priya Nandakumar,Complete,Green,2026-07-27,2026-08-20,2026-08-16,2026-08-16,
Analytics Enablement,D-012,Onboard Curriculum cutover task,Curriculum,Americas,Priya Nandakumar,Complete,Green,2026-04-19,2026-06-09,2026-05-30,2026-05-30,
Analytics Enablement,D-013,Onboard Curriculum approval workflow,Champions Network,Americas,Daniel Osei,Complete,Green,2026-03-18,2026-04-16,2026-04-11,2026-04-11,
Analytics Enablement,D-014,Configure Curriculum reconciliation,Champions Network,EMEA,Daniel Osei,Slipped,Red,2026-03-01,2026-03-11,,2026-06-02,Adoption depends on business-unit champions who have day jobs.
Analytics Enablement,D-015,Design Curriculum API contract,Certification,EMEA,Daniel Osei,Complete,Green,2025-04-08,2025-04-16,2025-04-14,2025-04-14,
Analytics Enablement,D-016,Validate Curriculum audit trail,Certification,Global,Priya Nandakumar,Not Started,Amber,2025-11-04,2026-01-02,,2026-03-31,
Analytics Enablement,D-017,Migrate Certification test script,Curriculum,Global,Marta Kowalski,Complete,Green,2025-10-31,2025-11-09,2025-11-08,2025-11-08,
Analytics Enablement,D-018,Build Champions Network batch job,Certification,EMEA,Daniel Osei,In Progress,Green,2026-01-13,2026-01-30,,2026-08-26,
Analytics Enablement,D-019,Migrate Curriculum reporting extract,Certification,Americas,Priya Nandakumar,In Progress,Green,2026-04-24,2026-06-06,,2026-08-17,
Analytics Enablement,D-020,Configure Champions Network reconciliation,Champions Network,Americas,Daniel Osei,Not Started,Amber,2026-03-05,2026-03-11,,2026-03-20,
Analytics Enablement,D-021,Reconcile Curriculum data model,Champions Network,EMEA,Priya Nandakumar,Complete,Green,2026-05-07,2026-05-19,2026-05-18,2026-05-18,
Analytics Enablement,D-022,Build Certification reconciliation,Curriculum,EMEA,Priya Nandakumar,In Progress,Green,2025-11-14,2025-11-23,,2026-08-25,
Analytics Enablement,D-023,Test Champions Network conversion rule,Curriculum,Americas,Marta Kowalski,Complete,Green,2026-05-25,2026-08-08,2026-07-28,2026-07-28,
Analytics Enablement,D-024,Validate Certification reporting extract,Certification,Global,Daniel Osei,Complete,Green,2026-05-19,2026-08-20,2026-07-31,2026-07-31,
Analytics Enablement,D-025,Automate Champions Network audit trail,Curriculum,Americas,Priya Nandakumar,In Progress,Green,2025-06-09,2025-06-19,,2026-08-26,
Analytics Enablement,D-026,Document Champions Network approval workflow,Certification,Global,Priya Nandakumar,Complete,Green,2026-01-14,2026-02-08,2026-02-13,2026-02-13,
Analytics Enablement,D-027,Deploy Curriculum batch job,Curriculum,Global,Priya Nandakumar,In Progress,Green,2025-05-13,2025-06-15,,2026-08-14,
Analytics Enablement,D-028,Integrate Curriculum training module,Certification,Americas,Marta Kowalski,Complete,Green,2025-10-26,2025-11-11,2025-11-12,2025-11-12,
Analytics Enablement,D-029,Automate Champions Network conversion rule,Certification,Americas,Marta Kowalski,Complete,Green,2026-07-04,2026-07-13,2026-07-12,2026-07-12,
Analytics Enablement,D-030,Refactor Curriculum conversion rule,Curriculum,EMEA,Daniel Osei,In Progress,Green,2026-06-28,2026-10-15,,2026-08-27,
Analytics Enablement,D-031,Test Champions Network reporting extract,Champions Network,Global,Marta Kowalski,Complete,Green,2026-07-26,2026-08-03,2026-08-01,2026-08-01,
Analytics Enablement,D-032,Integrate Curriculum reconciliation,Champions Network,Global,Priya Nandakumar,Complete,Green,2026-08-08,2026-08-26,2026-09-01,2026-09-01,
Analytics Enablement,D-033,Document Champions Network data model,Certification,Global,Marta Kowalski,Not Started,Amber,2026-03-19,2026-04-05,,2026-03-19,
Analytics Enablement,D-034,Migrate Certification cutover task,Curriculum,EMEA,Priya Nandakumar,Complete,Green,2025-08-20,2025-10-11,2025-09-29,2025-09-29,
